"id","amascat","stat","value"
630,"hi","bis_attention",2.8
631,"hi","bis_attention",2.2
632,"hi","bis_attention",2.2
633,"lo","bis_attention",2.2
634,"hi","bis_attention",3.2
635,"lo","bis_attention",2.6
636,"hi","bis_attention",2.8
637,"hi","bis_attention",2.4
638,"lo","bis_attention",2.6
640,"lo","bis_attention",2.4
641,"lo","bis_attention",2.2
642,"hi","bis_attention",2
643,"lo","bis_attention",1.4
644,"hi","bis_attention",1.2
645,"lo","bis_attention",1.8
646,"lo","bis_attention",1.8
647,"hi","bis_attention",1.8
648,"hi","bis_attention",1.6
649,"hi","bis_attention",2.2
650,"lo","bis_attention",1.4
651,"lo","bis_attention",1
652,"hi","bis_attention",2.2
653,"lo","bis_attention",2.8
654,"lo","bis_attention",2.4
655,"lo","bis_attention",2.4
602,"hi","bis_coginstable",2.33333333333333
603,"hi","bis_coginstable",3
604,"hi","bis_coginstable",3.33333333333333
605,"lo","bis_coginstable",1.66666666666667
606,"lo","bis_coginstable",1.66666666666667
607,"hi","bis_coginstable",2.33333333333333
608,"hi","bis_coginstable",1.66666666666667
609,"hi","bis_coginstable",2.33333333333333
610,"lo","bis_coginstable",2.33333333333333
611,"lo","bis_coginstable",1.33333333333333
612,"lo","bis_coginstable",2
613,"lo","bis_coginstable",2
614,"lo","bis_coginstable",2.33333333333333
615,"lo","bis_coginstable",3
616,"lo","bis_coginstable",1.66666666666667
617,"hi","bis_coginstable",1.66666666666667
618,"lo","bis_coginstable",1
619,"lo","bis_coginstable",2
620,"hi","bis_coginstable",1.33333333333333
621,"lo","bis_coginstable",1
622,"hi","bis_coginstable",2.33333333333333
625,"lo","bis_coginstable",1.33333333333333
626,"hi","bis_coginstable",2
627,"hi","bis_coginstable",2
628,"hi","bis_coginstable",1
629,"hi","bis_coginstable",2
630,"hi","bis_coginstable",1.66666666666667
631,"hi","bis_coginstable",3
632,"hi","bis_coginstable",1
633,"lo","bis_coginstable",1
634,"hi","bis_coginstable",2
635,"lo","bis_coginstable",3
636,"hi","bis_coginstable",2
637,"hi","bis_coginstable",2.33333333333333
638,"lo","bis_coginstable",2
640,"lo","bis_coginstable",1.66666666666667
641,"lo","bis_coginstable",2
642,"hi","bis_coginstable",2.33333333333333
643,"lo","bis_coginstable",1.66666666666667
644,"hi","bis_coginstable",1.33333333333333
645,"lo","bis_coginstable",1.66666666666667
646,"lo","bis_coginstable",1.66666666666667
647,"hi","bis_coginstable",3
648,"hi","bis_coginstable",1.33333333333333
649,"hi","bis_coginstable",2
650,"lo","bis_coginstable",1.66666666666667
651,"lo","bis_coginstable",2.33333333333333
652,"hi","bis_coginstable",2.33333333333333
653,"lo","bis_coginstable",3
654,"lo","bis_coginstable",2.33333333333333
655,"lo","bis_coginstable",1.33333333333333
602,"hi","bis_motor",1.71428571428571
603,"hi","bis_motor",2.71428571428571
604,"hi","bis_motor",1.57142857142857
605,"lo","bis_motor",1.71428571428571
606,"lo","bis_motor",1.85714285714286
607,"hi","bis_motor",1.42857142857143
608,"hi","bis_motor",1.57142857142857
609,"hi","bis_motor",2.42857142857143
610,"lo","bis_motor",1.28571428571429
611,"lo","bis_motor",1.85714285714286
612,"lo","bis_motor",2.14285714285714
613,"lo","bis_motor",2
614,"lo","bis_motor",1.85714285714286
615,"lo","bis_motor",2.42857142857143
616,"lo","bis_motor",2.28571428571429
617,"hi","bis_motor",1.85714285714286
618,"lo","bis_motor",1.71428571428571
619,"lo","bis_motor",2.28571428571429
620,"hi","bis_motor",1.57142857142857
621,"lo","bis_motor",2.57142857142857
622,"hi","bis_motor",2.42857142857143
625,"lo","bis_motor",1.71428571428571
626,"hi","bis_motor",2
627,"hi","bis_motor",1.42857142857143
628,"hi","bis_motor",1.85714285714286
629,"hi","bis_motor",2.28571428571429
630,"hi","bis_motor",2.28571428571429
631,"hi","bis_motor",2.57142857142857
632,"hi","bis_motor",1
633,"lo","bis_motor",1.71428571428571
634,"hi","bis_motor",2.42857142857143
635,"lo","bis_motor",3
636,"hi","bis_motor",2.14285714285714
637,"hi","bis_motor",1.57142857142857
638,"lo","bis_motor",2.42857142857143
640,"lo","bis_motor",1.57142857142857
641,"lo","bis_motor",2.14285714285714
642,"hi","bis_motor",2.28571428571429
643,"lo","bis_motor",1.85714285714286
644,"hi","bis_motor",1.57142857142857
645,"lo","bis_motor",2.14285714285714
646,"lo","bis_motor",1.42857142857143
647,"hi","bis_motor",2.28571428571429
648,"hi","bis_motor",1.28571428571429
649,"hi","bis_motor",2
650,"lo","bis_motor",1.28571428571429
651,"lo","bis_motor",1.85714285714286
652,"hi","bis_motor",2.14285714285714
653,"lo","bis_motor",2.57142857142857
654,"lo","bis_motor",2.28571428571429
655,"lo","bis_motor",1.57142857142857
602,"hi","bis_persev",1.25
603,"hi","bis_persev",2
604,"hi","bis_persev",2
605,"lo","bis_persev",1.25
606,"lo","bis_persev",2
607,"hi","bis_persev",2.25
608,"hi","bis_persev",2
609,"hi","bis_persev",2.5
610,"lo","bis_persev",1.25
611,"lo","bis_persev",1
612,"lo","bis_persev",1.75
613,"lo","bis_persev",2.25
614,"lo","bis_persev",1.75
615,"lo","bis_persev",1.75
616,"lo","bis_persev",1.5
617,"hi","bis_persev",1.5
618,"lo","bis_persev",1.5
619,"lo","bis_persev",1.25
620,"hi","bis_persev",1.25
621,"lo","bis_persev",2
622,"hi","bis_persev",2.25
625,"lo","bis_persev",1.25
626,"hi","bis_persev",2.25
627,"hi","bis_persev",1.5
628,"hi","bis_persev",2
629,"hi","bis_persev",2
630,"hi","bis_persev",1.5
631,"hi","bis_persev",2
632,"hi","bis_persev",1.75
633,"lo","bis_persev",1.25
634,"hi","bis_persev",2
635,"lo","bis_persev",2.75
636,"hi","bis_persev",2
637,"hi","bis_persev",1.5
638,"lo","bis_persev",1.75
640,"lo","bis_persev",1.75
641,"lo","bis_persev",2
642,"hi","bis_persev",1.5
643,"lo","bis_persev",1.5
644,"hi","bis_persev",1
645,"lo","bis_persev",1.5
646,"lo","bis_persev",1.75
647,"hi","bis_persev",2
648,"hi","bis_persev",1.5
649,"hi","bis_persev",2.25
650,"lo","bis_persev",1.5
651,"lo","bis_persev",1.75
652,"hi","bis_persev",1
653,"lo","bis_persev",1.75
654,"lo","bis_persev",1.75
655,"lo","bis_persev",1.5
602,"hi","bis_selfcntrl",1.66666666666667
603,"hi","bis_selfcntrl",2.33333333333333
604,"hi","bis_selfcntrl",2.16666666666667
