"id","amascat","biscat","amas_learn","amas_eval","amas","bis_ATT","bis_MTR","bis_NPL","bis","mathtask","value","difficulty","subject","stat"
644,"hi","lo",2.6,4.5,3.44444444444444,1.25,1.36363636363636,1.45454545454545,1.36666666666667,"easymathtime",3781.55,"easy","math","time"
645,"lo","lo",1,2,1.44444444444444,1.75,1.90909090909091,2.54545454545455,2.1,"easymathtime",3042.225,"easy","math","time"
646,"lo","lo",1.4,2.5,1.88888888888889,1.75,1.54545454545455,2.18181818181818,1.83333333333333,"easymathtime",2382.7875,"easy","math","time"
647,"hi","lo",1.8,5,3.22222222222222,2.25,2.18181818181818,1.45454545454545,1.93333333333333,"easymathtime",2869.0125,"easy","math","time"
648,"hi","lo",2.8,3.25,3,1.5,1.36363636363636,2.45454545454545,1.8,"easymathtime",2314.9375,"easy","math","time"
649,"hi","hi",1.4,4.5,2.77777777777778,2.125,2.09090909090909,2.72727272727273,2.33333333333333,"easymathtime",4271.9375,"easy","math","time"
650,"lo","lo",1,2.5,1.66666666666667,1.5,1.36363636363636,2,1.63333333333333,"easymathtime",2634.5125,"easy","math","time"
651,"lo","lo",1,1.5,1.22222222222222,1.5,1.81818181818182,1.18181818181818,1.5,"easymathtime",2226.8625,"easy","math","time"
652,"hi","lo",1.6,3.5,2.44444444444444,2.25,1.72727272727273,2.27272727272727,2.06666666666667,"easymathtime",2815.15,"easy","math","time"
653,"lo","hi",1,1.25,1.11111111111111,2.875,2.27272727272727,2.54545454545455,2.53333333333333,"easymathtime",2098.6125,"easy","math","time"
654,"lo","hi",1,2.75,1.77777777777778,2.375,2.09090909090909,2.36363636363636,2.26666666666667,"easymathtime",3475.85,"easy","math","time"
655,"lo","lo",1,2.5,1.66666666666667,2,1.54545454545455,1.54545454545455,1.66666666666667,"easymathtime",3472.9125,"easy","math","time"
602,"hi","lo",2.4,3.75,3,1.75,1.54545454545455,1.54545454545455,1.6,"hardmathtime",4786.9,"hard","math","time"
603,"hi","hi",3,3,3,2.75,2.45454545454545,2.27272727272727,2.46666666666667,"hardmathtime",3595.125,"hard","math","time"
604,"hi","hi",2,3.5,2.66666666666667,2.625,1.72727272727273,2.18181818181818,2.13333333333333,"hardmathtime",5090.1,"hard","math","time"
605,"lo","lo",1,2.5,1.66666666666667,1.875,1.54545454545455,2.27272727272727,1.9,"hardmathtime",4436.7625,"hard","math","time"
606,"lo","hi",1.6,2.25,1.88888888888889,2.125,1.90909090909091,2.45454545454545,2.16666666666667,"hardmathtime",4623.45,"hard","math","time"
607,"hi","lo",2.2,3.75,2.88888888888889,2,1.72727272727273,2.27272727272727,2,"hardmathtime",4251.2625,"hard","math","time"
608,"hi","lo",2.8,3.75,3.22222222222222,1.75,1.72727272727273,2.45454545454545,2,"hardmathtime",3632.1,"hard","math","time"
609,"hi","hi",3.4,3.75,3.55555555555556,2.625,2.45454545454545,2.27272727272727,2.43333333333333,"hardmathtime",3087.225,"hard","math","time"
610,"lo","lo",1,2.5,1.66666666666667,2.125,1.27272727272727,2.09090909090909,1.8,"hardmathtime",4369.35,"hard","math","time"
611,"lo","lo",1.4,2.25,1.77777777777778,1.625,1.54545454545455,2,1.73333333333333,"hardmathtime",4041.575,"hard","math","time"
612,"lo","lo",1,1.25,1.11111111111111,1.875,2,2.18181818181818,2.03333333333333,"hardmathtime",4568.375,"hard","math","time"
613,"lo","hi",1,1,1,2.25,2.09090909090909,2.72727272727273,2.36666666666667,"hardmathtime",3955.35,"hard","math","time"
614,"lo","lo",1,1.75,1.33333333333333,1.875,1.81818181818182,1.63636363636364,1.76666666666667,"hardmathtime",4622.9,"hard","math","time"
