"amascat","difficulty","mean","median","stddev","sterr","N"
"hi","easy",6.52,7,1.54179857865509,0.218043246038159,50
"hi","hard",4.12,4,1.58616467220366,0.224317559158749,50
"lo","easy",7.13461538461539,8,1.15519026790083,0.160196067070516,52
"lo","hard",4.61538461538461,5,1.53589529557661,0.212990355459438,52
