"amascat","difficulty","mean","median","stddev","sterr","N"
"hi","easy",2883.4575,2730.4,830.387594833317,117.434539863965,50
"hi","hard",3683.19425,3654.31875,745.9640848939,105.495252590019,50
"lo","easy",2509.81201923077,2391.79375,628.40551828929,87.1441660760215,52
"lo","hard",3790.66466346154,3857.6125,629.484624196657,87.2938111406626,52
