"term","df","sumsq","meansq","statistic","p.value"
"amascat",1,5900279.50560616,5900279.50560616,9.89116772044373,0.00219883961260105
"subject",1,1293374.27382965,1293374.27382965,2.1681992955759,0.144095530914359
"amascat:subject",1,4987661.69802358,4987661.69802358,8.36126463858361,0.00472160984640192
"Residuals",98,58458961.3574426,596520.013851455,NA,NA
