"amascat","difficulty","mean","median","stddev","sterr","N"
"hi","easy",1153.389,1192.225,748.726358891523,149.745271778305,25
"hi","hard",477.1575,575.4875,770.953626638518,154.190725327704,25
"lo","easy",683.229807692308,645.0625,581.554052765916,114.052133202399,26
"lo","hard",891.689903846154,786.3375,624.510032465644,122.476493922184,26
