"amascat","subject","mean","median","stddev","sterr","N"
"hi","math",461.621,777.1625,1070.64505014865,214.129010029731,25
"hi","verbal",1137.8525,1127.4875,703.658765132217,140.731753026443,25
"lo","math",1385.08269230769,1463.5875,644.733847607648,126.442710385583,26
"lo","verbal",1176.62259615385,1255.6125,588.99651793346,115.511720706958,26
