"amascat","subject","mean","median","stddev","sterr","N"
"hi","math",3690.9625,3793.1375,712.890006140212,100.817871516373,50
"hi","verbal",2875.68925,2817.36875,851.464605578902,120.415279309034,50
"lo","math",3543.96826923077,3757.83125,873.715904021626,121.162595851475,52
"lo","verbal",2756.50841346154,2597.68125,740.28031921391,102.658409582408,52
