"difficulty","subject","mean","median","stddev","sterr","N"
"easy","math",3149.82156862745,3042.225,714.938659786097,100.111436660015,51
"easy","verbal",2236.12156862745,2128.525,461.311879399924,64.5965837249245,51
"hard","math",4082.22696078431,4099.0625,577.225678030117,80.8277620935137,51
"hard","verbal",3393.73921568627,3411.8875,616.814341571978,86.3712838046091,51
