"amascat","subject","mean","median","stddev","sterr","N"
"hi","math",2.68,2,2.1548395145192,0.43096790290384,25
"hi","verbal",2.12,2,1.48099065943487,0.296198131886974,25
"lo","math",3.11538461538462,3,1.68111684488433,0.329694138334413,26
"lo","verbal",1.92307692307692,2,1.23038455526967,0.241298263713202,26
