"term","df","sumsq","meansq","statistic","p.value"
"amascat",1,19718.8307495499,19718.8307495499,0.0420787440529003,0.837895216174432
"difficulty",1,1293374.27382966,1293374.27382966,2.75997931745147,0.0998454681234525
"amascat:difficulty",1,4987661.69802359,4987661.69802359,10.6433562252863,0.00152089723136026
"Residuals",98,45924503.1416925,468617.378996863,NA,NA
