"amascat","difficulty","subject","mean","median","stddev","sterr","N"
"hi","easy","math",3460.152,3629.9,686.101092780111,137.220218556022,25
"hi","easy","verbal",2306.763,2332.9875,494.181730243288,98.8363460486576,25
"hi","hard","math",3921.773,3956.5,675.187890764027,135.037578152805,25
"hi","hard","verbal",3444.6155,3429.2125,749.432531876202,149.88650637524,25
"lo","easy","math",2851.42692307692,2643.46875,617.627183397196,121.126656164141,26
"lo","easy","verbal",2168.19711538462,2066.7125,425.889479227118,83.5237986620364,26
"lo","hard","math",4236.50961538462,4219.0375,422.178504771792,82.7960166942613,26
"lo","hard","verbal",3344.81971153846,3393.94375,465.466937590269,91.2855768348099,26
